Date,Clicks,Impressions,CTR,Position
2026-04-21,0,0,,
2026-04-22,0,0,,
2026-04-23,0,29,0%,41.9
2026-04-24,0,15,0%,42.3
2026-04-25,0,31,0%,64.2
2026-04-26,0,54,0%,64.3
2026-04-27,0,53,0%,55.7
2026-04-28,0,34,0%,61.5
2026-04-29,0,35,0%,56.8
2026-04-30,0,41,0%,51.1
2026-05-01,0,34,0%,36.8
2026-05-02,1,38,2.63%,46.6
2026-05-03,1,220,0.45%,43.3
2026-05-04,0,129,0%,50.1
2026-05-05,1,83,1.2%,36.2
2026-05-06,0,118,0%,47.3
2026-05-07,0,182,0%,53.9
2026-05-08,0,187,0%,52
2026-05-09,0,181,0%,54.3
2026-05-10,0,200,0%,54.9
2026-05-11,0,221,0%,59.6
2026-05-12,1,214,0.47%,59.8
2026-05-13,0,241,0%,53.5
2026-05-14,0,296,0%,54
2026-05-15,1,527,0.19%,64
2026-05-16,2,602,0.33%,65
2026-05-17,2,619,0.32%,64.2
2026-05-18,0,563,0%,66.7
2026-05-19,0,719,0%,70.3
2026-05-20,0,791,0%,70.1
2026-05-21,1,575,0.17%,69.8
2026-05-22,0,509,0%,69.6
2026-05-23,1,500,0.2%,70.4
2026-05-24,0,466,0%,67.2
2026-05-25,1,604,0.17%,71.1
2026-05-26,0,461,0%,69.3
2026-05-27,1,555,0.18%,65.7
2026-05-28,0,456,0%,70.6
2026-05-29,1,388,0.26%,65.8
2026-05-30,0,419,0%,64.5
2026-05-31,1,492,0.2%,62.3
2026-06-01,0,364,0%,66.1
2026-06-02,0,276,0%,68.9
2026-06-03,1,323,0.31%,68.3
2026-06-04,0,356,0%,70.7
2026-06-05,0,380,0%,69.1
2026-06-06,0,409,0%,68.5
2026-06-07,1,391,0.26%,71.4
2026-06-08,0,413,0%,74.3
2026-06-09,0,345,0%,67.7
2026-06-10,0,259,0%,69.2
2026-06-11,0,271,0%,70.1
2026-06-12,0,318,0%,68.8
2026-06-13,1,382,0.26%,72.7
2026-06-14,0,355,0%,69.7
2026-06-15,1,404,0.25%,72.6
2026-06-16,0,388,0%,68.6
2026-06-17,0,441,0%,70.1
2026-06-18,0,526,0%,71.2
2026-06-19,0,369,0%,68.1
2026-06-20,2,533,0.38%,68.6
2026-06-21,1,507,0.2%,68
2026-06-22,0,525,0%,71.3
2026-06-23,1,384,0.26%,70.5
2026-06-24,0,346,0%,71.9
2026-06-25,0,360,0%,71.5
2026-06-26,0,278,0%,68.6
2026-06-27,0,301,0%,73.6
2026-06-28,0,380,0%,70.9
2026-06-29,0,387,0%,72.8
2026-06-30,0,419,0%,72.2
2026-07-01,1,389,0.26%,69.9
2026-07-02,0,351,0%,65.7
2026-07-03,0,272,0%,64.3
2026-07-04,0,294,0%,65.1
2026-07-05,0,370,0%,64
2026-07-06,0,493,0%,67
2026-07-07,0,389,0%,65.2
2026-07-08,0,360,0%,65.7
2026-07-09,1,364,0.27%,65.4
2026-07-10,1,270,0.37%,66.9
2026-07-11,0,265,0%,67.4
2026-07-12,0,321,0%,65.8
2026-07-13,0,345,0%,68.2
2026-07-14,0,321,0%,70.1
2026-07-15,0,379,0%,67.1
2026-07-16,0,262,0%,65.7
2026-07-17,0,298,0%,66.8
